source_file,source_sheet,source_row,player_name,season,team_or_grade,metric_group,metric_name,metric_value,issue_type,severity,reason,action,data_confidence
bexley_stats_spreadsheets.xlsx,1952-53,51,13 3,Summer 1952/53,Historical club summary,batting,battingNotOuts,4.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1952-53,55,13 4,Summer 1952/53,Historical club summary,batting,battingNotOuts,4.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1956-57,52,14 4,Summer 1956/57,Historical club summary,batting,battingNotOuts,4.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1956-57,56,14,Summer 1956/57,Historical club summary,batting,battingNotOuts,3.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1961-62,51,14 3,Summer 1961/62,Historical club summary,batting,battingNotOuts,4.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1962-63,51,14 3,Summer 1962/63,Historical club summary,batting,battingNotOuts,3.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1964-65,51,Phil Smith,Summer 1964/65,Historical club summary,batting,battingAverage,17615.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1964-65,64,14 1,Summer 1964/65,Historical club summary,batting,battingNotOuts,5.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1965-66,58,14,Summer 1965/66,Historical club summary,batting,battingNotOuts,10.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1965-66,62,15 1,Summer 1965/66,Historical club summary,batting,battingNotOuts,4.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1966-67,55,15,Summer 1966/67,Historical club summary,batting,battingNotOuts,6.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1966-67,59,16 1,Summer 1966/67,Historical club summary,batting,battingNotOuts,8.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1967-68,53,17,Summer 1967/68,Historical club summary,batting,battingNotOuts,8.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1967-68,57,17 1,Summer 1967/68,Historical club summary,batting,battingNotOuts,7.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1968-69,58,13 2,Summer 1968/69,Historical club summary,batting,battingNotOuts,4.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1969-70,48,Brian White,Summer 1969/70,Historical club summary,batting,battingNotOuts,13.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1969-70,57,15,Summer 1969/70,Historical club summary,batting,battingHighScore,5.0,invalid,high,High score cannot exceed aggregate runs.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1969-70,57,15,Summer 1969/70,Historical club summary,batting,battingNotOuts,3.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1969-70,61,15,Summer 1969/70,Historical club summary,batting,battingNotOuts,8.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1970-71,49,13 1,Summer 1970/71,Historical club summary,batting,battingNotOuts,6.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1970-71,53,13,Summer 1970/71,Historical club summary,batting,battingNotOuts,8.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1974-75,15,P Huthnance,Summer 1974/75,Historical club summary,batting,battingNotOuts,11.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,2,1,Summer 1980/81,Historical club summary,batting,battingAverage,274.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,2,1,Summer 1980/81,Historical club summary,batting,battingNotOuts,16.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,3,2,Summer 1980/81,Historical club summary,batting,battingNotOuts,2.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,4,3,Summer 1980/81,Historical club summary,batting,battingNotOuts,15.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,6,5,Summer 1980/81,Historical club summary,batting,battingAverage,321.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,7,6,Summer 1980/81,Historical club summary,batting,battingNotOuts,12.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,8,7,Summer 1980/81,Historical club summary,batting,battingNotOuts,6.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,10,9,Summer 1980/81,Historical club summary,batting,battingNotOuts,14.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,12,11,Summer 1980/81,Historical club summary,batting,battingNotOuts,11.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,15,14,Summer 1980/81,Historical club summary,batting,battingNotOuts,8.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,18,17,Summer 1980/81,Historical club summary,batting,battingNotOuts,15.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,19,18,Summer 1980/81,Historical club summary,batting,battingNotOuts,6.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,20,19,Summer 1980/81,Historical club summary,batting,battingNotOuts,4.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,21,20,Summer 1980/81,Historical club summary,batting,battingNotOuts,4.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,22,21,Summer 1980/81,Historical club summary,batting,battingNotOuts,6.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,24,23,Summer 1980/81,Historical club summary,batting,battingAverage,295.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,25,24,Summer 1980/81,Historical club summary,batting,battingNotOuts,10.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,26,25,Summer 1980/81,Historical club summary,batting,battingNotOuts,15.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,27,26,Summer 1980/81,Historical club summary,batting,battingNotOuts,13.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,28,27,Summer 1980/81,Historical club summary,batting,battingNotOuts,9.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,29,28,Summer 1980/81,Historical club summary,batting,battingAverage,318.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,29,28,Summer 1980/81,Historical club summary,batting,battingNotOuts,17.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,30,29,Summer 1980/81,Historical club summary,batting,battingAverage,356.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,31,30,Summer 1980/81,Historical club summary,batting,battingAverage,368.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,31,30,Summer 1980/81,Historical club summary,batting,battingNotOuts,15.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,32,31,Summer 1980/81,Historical club summary,batting,battingNotOuts,5.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1980-81,35,34,Summer 1980/81,Historical club summary,batting,battingAverage,578.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1987-88,54,John Spek,Summer 1987/88,Historical club summary,batting,battingAverage,280.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1989-90,32,Mark Jemmeson,Summer 1989/90,Historical club summary,batting,battingHighScore,51.0,invalid,high,High score cannot exceed aggregate runs.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1990-91,39,Troy Lewis,Summer 1990/91,Historical club summary,batting,battingAverage,482.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,5,4,Summer 1992/93,Historical club summary,batting,battingAverage,251.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,5,4,Summer 1992/93,Historical club summary,batting,battingNotOuts,10.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,10,9,Summer 1992/93,Historical club summary,batting,battingNotOuts,13.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,12,11,Summer 1992/93,Historical club summary,batting,battingNotOuts,11.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,13,12,Summer 1992/93,Historical club summary,batting,battingNotOuts,10.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,15,14,Summer 1992/93,Historical club summary,batting,battingNotOuts,11.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,17,16,Summer 1992/93,Historical club summary,batting,battingAverage,275.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,22,21,Summer 1992/93,Historical club summary,batting,battingAverage,423.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,23,22,Summer 1992/93,Historical club summary,batting,battingNotOuts,12.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,25,24,Summer 1992/93,Historical club summary,batting,battingNotOuts,13.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,27,26,Summer 1992/93,Historical club summary,batting,battingNotOuts,12.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,28,27,Summer 1992/93,Historical club summary,batting,battingAverage,258.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,29,28,Summer 1992/93,Historical club summary,batting,battingNotOuts,10.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,30,29,Summer 1992/93,Historical club summary,batting,battingNotOuts,7.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,31,30,Summer 1992/93,Historical club summary,batting,battingAverage,318.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,33,32,Summer 1992/93,Historical club summary,batting,battingNotOuts,8.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,34,33,Summer 1992/93,Historical club summary,batting,battingNotOuts,10.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,36,35,Summer 1992/93,Historical club summary,batting,battingAverage,353.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,37,36,Summer 1992/93,Historical club summary,batting,battingNotOuts,13.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,38,37,Summer 1992/93,Historical club summary,batting,battingNotOuts,13.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,41,40,Summer 1992/93,Historical club summary,batting,battingAverage,258.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,41,40,Summer 1992/93,Historical club summary,batting,battingNotOuts,13.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,45,44,Summer 1992/93,Historical club summary,batting,battingNotOuts,10.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,48,47,Summer 1992/93,Historical club summary,batting,battingNotOuts,16.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,49,48,Summer 1992/93,Historical club summary,batting,battingNotOuts,8.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,53,52,Summer 1992/93,Historical club summary,batting,battingNotOuts,13.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,54,53,Summer 1992/93,Historical club summary,batting,battingNotOuts,8.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,55,54,Summer 1992/93,Historical club summary,batting,battingAverage,289.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,55,54,Summer 1992/93,Historical club summary,batting,battingNotOuts,14.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,56,55,Summer 1992/93,Historical club summary,batting,battingNotOuts,12.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,57,56,Summer 1992/93,Historical club summary,batting,battingNotOuts,9.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,62,61,Summer 1992/93,Historical club summary,batting,battingNotOuts,10.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,63,62,Summer 1992/93,Historical club summary,batting,battingNotOuts,11.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,64,63,Summer 1992/93,Historical club summary,batting,battingNotOuts,15.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1992-93,67,66,Summer 1992/93,Historical club summary,batting,battingNotOuts,3.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,2,1,Summer 1996/97,Historical club summary,batting,battingAverage,251.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,2,1,Summer 1996/97,Historical club summary,batting,battingNotOuts,15.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,5,4,Summer 1996/97,Historical club summary,batting,battingNotOuts,12.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,6,5,Summer 1996/97,Historical club summary,batting,battingAverage,340.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,6,5,Summer 1996/97,Historical club summary,batting,battingNotOuts,15.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,9,8,Summer 1996/97,Historical club summary,batting,battingNotOuts,14.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,10,9,Summer 1996/97,Historical club summary,batting,battingAverage,316.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,10,9,Summer 1996/97,Historical club summary,batting,battingNotOuts,17.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,13,12,Summer 1996/97,Historical club summary,batting,battingNotOuts,15.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,14,13,Summer 1996/97,Historical club summary,batting,battingNotOuts,12.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,15,14,Summer 1996/97,Historical club summary,batting,battingAverage,352.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,15,14,Summer 1996/97,Historical club summary,batting,battingNotOuts,16.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,16,15,Summer 1996/97,Historical club summary,batting,battingAverage,407.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,16,15,Summer 1996/97,Historical club summary,batting,battingNotOuts,18.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,18,17,Summer 1996/97,Historical club summary,batting,battingAverage,540.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,18,17,Summer 1996/97,Historical club summary,batting,battingNotOuts,21.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,19,18,Summer 1996/97,Historical club summary,batting,battingAverage,482.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,21,20,Summer 1996/97,Historical club summary,batting,battingNotOuts,14.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,26,25,Summer 1996/97,Historical club summary,batting,battingAverage,500.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,26,25,Summer 1996/97,Historical club summary,batting,battingNotOuts,17.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,28,27,Summer 1996/97,Historical club summary,batting,battingAverage,273.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,28,27,Summer 1996/97,Historical club summary,batting,battingNotOuts,18.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,29,28,Summer 1996/97,Historical club summary,batting,battingAverage,303.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,29,28,Summer 1996/97,Historical club summary,batting,battingNotOuts,18.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,30,29,Summer 1996/97,Historical club summary,batting,battingAverage,681.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,30,29,Summer 1996/97,Historical club summary,batting,battingNotOuts,20.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,32,31,Summer 1996/97,Historical club summary,batting,battingAverage,310.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,32,31,Summer 1996/97,Historical club summary,batting,battingNotOuts,17.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,33,32,Summer 1996/97,Historical club summary,batting,battingNotOuts,11.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,34,33,Summer 1996/97,Historical club summary,batting,battingAverage,300.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,35,34,Summer 1996/97,Historical club summary,batting,battingNotOuts,13.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,36,35,Summer 1996/97,Historical club summary,batting,battingNotOuts,17.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,38,37,Summer 1996/97,Historical club summary,batting,battingNotOuts,18.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,39,38,Summer 1996/97,Historical club summary,batting,battingNotOuts,14.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,42,41,Summer 1996/97,Historical club summary,batting,battingNotOuts,14.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,43,42,Summer 1996/97,Historical club summary,batting,battingNotOuts,15.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,44,43,Summer 1996/97,Historical club summary,batting,battingAverage,287.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,44,43,Summer 1996/97,Historical club summary,batting,battingNotOuts,18.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,45,44,Summer 1996/97,Historical club summary,batting,battingAverage,382.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,45,44,Summer 1996/97,Historical club summary,batting,battingNotOuts,15.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,46,45,Summer 1996/97,Historical club summary,batting,battingAverage,326.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,47,46,Summer 1996/97,Historical club summary,batting,battingNotOuts,24.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,49,48,Summer 1996/97,Historical club summary,batting,battingNotOuts,17.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,51,50,Summer 1996/97,Historical club summary,batting,battingAverage,314.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,51,50,Summer 1996/97,Historical club summary,batting,battingNotOuts,15.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,53,52,Summer 1996/97,Historical club summary,batting,battingAverage,334.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,54,53,Summer 1996/97,Historical club summary,batting,battingNotOuts,14.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,61,60,Summer 1996/97,Historical club summary,batting,battingNotOuts,16.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1996-97,65,64,Summer 1996/97,Historical club summary,batting,battingAverage,301.0,suspicious,medium,Batting average above 250 needs manual review.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,2010-11,5,Arsalan S Ahmad,Summer 2010/11,Historical club summary,batting,battingStrikeRate,548.1,suspicious,medium,Strike rate above 300 from Excel needs manual review.,excluded_from_records,low
