player_id,player_name,short_name,club,team_name,grade_name,season_id,season,season_start_date,competition_name,raw_player_id,raw_player_name,source_system,source_file,source_sheet,source_row,data_confidence,matches,battingInnings,battingAggregate,battingNotOuts,battingBallsFaced,batting50s,batting100s,batting0s,battingHighScore,isBattingHSNotOut,battingAverage,battingStrikeRate,battingFours,battingSixes,battingMinutes,team_id,grade_id,canonical_player_id,canonical_player_name
excel_4f6e1449450566fd,E Reid,E Reid,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_4f6e1449450566fd,E Reid,excel,bexley_stats_spreadsheets.xlsx,1929-30,18,medium,,18,631,1,,,,,96,False,37.11764706,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_c57e213efd9122fc,F Richards,F Richards,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_c57e213efd9122fc,F Richards,excel,bexley_stats_spreadsheets.xlsx,1929-30,19,high,,12,136,,,,,,29,False,11.33333333,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_17e67813f5740edd,C Robinson,C Robinson,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_17e67813f5740edd,C Robinson,excel,bexley_stats_spreadsheets.xlsx,1929-30,20,medium,,13,193,2,,,,,99,True,17.54545455,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_b542d476cdd4d7bd,A Seddon,A Seddon,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_b542d476cdd4d7bd,A Seddon,excel,bexley_stats_spreadsheets.xlsx,1929-30,21,high,,21,233,1,,,,,46,False,11.65,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_af2f8e5318250691,Reg Sommerlad,R Sommerlad,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_af2f8e5318250691,Reg Sommerlad,excel,bexley_stats_spreadsheets.xlsx,1929-30,22,medium,,4,24,,,,,,,False,6,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_6332bf28ec812022,L Stuart,L Stuart,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_6332bf28ec812022,L Stuart,excel,bexley_stats_spreadsheets.xlsx,1929-30,23,medium,,1,,,,,,,,False,,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_d2fa21161ac61925,L Tustin,L Tustin,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_d2fa21161ac61925,L Tustin,excel,bexley_stats_spreadsheets.xlsx,1929-30,24,high,,17,241,3,,,,,56,True,17.21428571,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_97f880a802e855f8,W Vale,W Vale,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_97f880a802e855f8,W Vale,excel,bexley_stats_spreadsheets.xlsx,1929-30,25,high,,19,78,3,,,,,19,False,4.875,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_8597566a26482845,F Wilton,F Wilton,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_8597566a26482845,F Wilton,excel,bexley_stats_spreadsheets.xlsx,1929-30,26,medium,,3,29,,,,,,,False,9.666666667,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_3301691a900b1e25,J Bannenberg,J Bannenberg,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_3301691a900b1e25,J Bannenberg,excel,bexley_stats_spreadsheets.xlsx,1929-30,31,medium,,2,13,,,,,,,False,6.5,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_be53577923994508,R Bartley,R Bartley,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_be53577923994508,R Bartley,excel,bexley_stats_spreadsheets.xlsx,1929-30,32,high,,10,63,,,,,,31,False,6.3,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_a9df7f578c5a83bc,R Clarke,R Clarke,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_a9df7f578c5a83bc,R Clarke,excel,bexley_stats_spreadsheets.xlsx,1929-30,33,high,,21,208,1,,,,,26,False,10.4,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_12000a26ad2687e7,J Cook,J Cook,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_12000a26ad2687e7,J Cook,excel,bexley_stats_spreadsheets.xlsx,1929-30,34,high,,8,97,,,,,,,False,12.125,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_c423d6ad3c4a6531,Alan Cox,A Cox,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_c423d6ad3c4a6531,Alan Cox,excel,bexley_stats_spreadsheets.xlsx,1929-30,35,medium,,27,116,2,,,,,17,True,4.64,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_a790b6ad800ac3f1,W Dalton,W Dalton,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_a790b6ad800ac3f1,W Dalton,excel,bexley_stats_spreadsheets.xlsx,1929-30,36,medium,,11,25,,,,,,,False,2.272727273,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_f45dd49bde489d09,Percy Eldridge,P Eldridge,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_f45dd49bde489d09,Percy Eldridge,excel,bexley_stats_spreadsheets.xlsx,1929-30,37,medium,,4,24,,,,,,,False,6,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_5efc89beecd6b760,W Fleming,W Fleming,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_5efc89beecd6b760,W Fleming,excel,bexley_stats_spreadsheets.xlsx,1929-30,38,high,,13,41,1,,,,,17,False,3.416666667,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_ef46b1882c724c0e,G Gilbert,G Gilbert,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_ef46b1882c724c0e,G Gilbert,excel,bexley_stats_spreadsheets.xlsx,1929-30,39,high,,12,33,4,,,,,10,False,4.125,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_e48308d6760f6732,F Hurst,F Hurst,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_e48308d6760f6732,F Hurst,excel,bexley_stats_spreadsheets.xlsx,1929-30,40,medium,,11,173,,,,,,24,False,15.72727273,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_ed3bc564f6bd664c,W Ives,W Ives,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_ed3bc564f6bd664c,W Ives,excel,bexley_stats_spreadsheets.xlsx,1929-30,41,medium,,7,12,,,,,,,False,1.714285714,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_de0ada41d95afb11,W Lofberg,W Lofberg,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_de0ada41d95afb11,W Lofberg,excel,bexley_stats_spreadsheets.xlsx,1929-30,42,high,,5,25,,,,,,,False,5,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_b2528866cebecb86,J Lynch,J Lynch,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_b2528866cebecb86,J Lynch,excel,bexley_stats_spreadsheets.xlsx,1929-30,44,high,,17,71,,,,,,20,False,4.176470588,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_1001d0c042e69f11,J Mcguiness,J Mcguiness,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_1001d0c042e69f11,J Mcguiness,excel,bexley_stats_spreadsheets.xlsx,1929-30,45,high,,27,257,,,,,,43,False,9.518518519,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_c57e213efd9122fc,F Richards,F Richards,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_c57e213efd9122fc,F Richards,excel,bexley_stats_spreadsheets.xlsx,1929-30,46,high,,11,109,1,,,,,45,True,10.9,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_17e67813f5740edd,C Robinson,C Robinson,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_17e67813f5740edd,C Robinson,excel,bexley_stats_spreadsheets.xlsx,1929-30,47,high,,7,103,,,,,,,False,14.71428571,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_bc17951470ba2a82,P Scott,P Scott,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_bc17951470ba2a82,P Scott,excel,bexley_stats_spreadsheets.xlsx,1929-30,48,medium,,4,34,,,,,,,False,8.5,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_af2f8e5318250691,Reg Sommerlad,R Sommerlad,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_af2f8e5318250691,Reg Sommerlad,excel,bexley_stats_spreadsheets.xlsx,1929-30,49,high,,16,139,,,,,,38,False,8.6875,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_6332bf28ec812022,L Stuart,L Stuart,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_6332bf28ec812022,L Stuart,excel,bexley_stats_spreadsheets.xlsx,1929-30,50,medium,,23,392,,,,,,71,False,17.04347826,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_02bac4e675b30f3d,W Tate,W Tate,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_02bac4e675b30f3d,W Tate,excel,bexley_stats_spreadsheets.xlsx,1929-30,51,medium,,6,14,,,,,,,False,2.333333333,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_00b3423c8080dbeb,T Whittaker,T Whittaker,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_00b3423c8080dbeb,T Whittaker,excel,bexley_stats_spreadsheets.xlsx,1929-30,52,medium,,22,109,6,,,,,25,True,6.8125,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_8597566a26482845,F Wilton,F Wilton,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_8597566a26482845,F Wilton,excel,bexley_stats_spreadsheets.xlsx,1929-30,53,high,,17,166,2,,,,,33,True,11.06666667,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_ddcf74379d36c34b,15 5,1 5,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_ddcf74379d36c34b,15 5,excel,bexley_stats_spreadsheets.xlsx,1929-30,58,high,2,5,,3,,,,,58,False,,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_6030eb60047d6a22,C Avern,C Avern,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_6030eb60047d6a22,C Avern,excel,bexley_stats_spreadsheets.xlsx,1930-31,4,high,,7,109,1,,,,,57,False,18.16666667,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_51d163fc22f38302,R Bartley,R Bartley,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_51d163fc22f38302,R Bartley,excel,bexley_stats_spreadsheets.xlsx,1930-31,5,high,,1,3,,,,,,3,False,3,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_d5fcbe81e8ef8ed8,J Boardman,J Boardman,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_d5fcbe81e8ef8ed8,J Boardman,excel,bexley_stats_spreadsheets.xlsx,1930-31,6,high,,4,25,,,,,,15,False,6.25,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_d666de91616b4b50,Alan Cox,A Cox,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_d666de91616b4b50,Alan Cox,excel,bexley_stats_spreadsheets.xlsx,1930-31,8,high,,1,,,,,,,,False,,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_9512017b43bf5dac,L Duly,L Duly,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_9512017b43bf5dac,L Duly,excel,bexley_stats_spreadsheets.xlsx,1930-31,9,high,,18,224,3,,,,,71,False,14.93333333,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_8a193f0b3e4e7ce2,Percy Eldridge,P Eldridge,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_8a193f0b3e4e7ce2,Percy Eldridge,excel,bexley_stats_spreadsheets.xlsx,1930-31,10,high,,4,27,,,,,,19,False,6.75,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_c987327126ff0933,G Gilbert,G Gilbert,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_c987327126ff0933,G Gilbert,excel,bexley_stats_spreadsheets.xlsx,1930-31,11,high,,1,,,,,,,,False,,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_34e1df80d8702a07,A Glasspool,A Glasspool,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_34e1df80d8702a07,A Glasspool,excel,bexley_stats_spreadsheets.xlsx,1930-31,12,high,,2,8,,,,,,7,False,4,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_7ca99b7aac346551,F Griggs,F Griggs,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_7ca99b7aac346551,F Griggs,excel,bexley_stats_spreadsheets.xlsx,1930-31,13,high,,20,276,4,,,,,69,True,17.25,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_471c6e69cc5acca7,F Hurst,F Hurst,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_471c6e69cc5acca7,F Hurst,excel,bexley_stats_spreadsheets.xlsx,1930-31,14,medium,,1,13,1,,,,,13,True,,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_37c581642f11e8f7,M Jones,M Jones,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_37c581642f11e8f7,M Jones,excel,bexley_stats_spreadsheets.xlsx,1930-31,15,high,,19,274,1,,,,,52,False,15.22222222,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_0987372e88c325f3,L Maltby,L Maltby,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_0987372e88c325f3,L Maltby,excel,bexley_stats_spreadsheets.xlsx,1930-31,16,high,,2,9,,,,,,9,False,9,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_885b45acdb224563,T O'neill,T O'neill,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_885b45acdb224563,T O'neill,excel,bexley_stats_spreadsheets.xlsx,1930-31,17,high,,17,66,2,,,,,18,False,4.4,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_9ee4619ef8992cb9,G Parsons,G Parsons,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_9ee4619ef8992cb9,G Parsons,excel,bexley_stats_spreadsheets.xlsx,1930-31,18,high,,18,642,2,,,,,141,False,40.125,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_e01ff7aaea68cd5c,E Reid,E Reid,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_e01ff7aaea68cd5c,E Reid,excel,bexley_stats_spreadsheets.xlsx,1930-31,19,high,,19,330,2,,,,,81,False,19.41176471,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_4f7672159a34a08e,F Richards,F Richards,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_4f7672159a34a08e,F Richards,excel,bexley_stats_spreadsheets.xlsx,1930-31,20,high,,18,173,3,,,,,99,False,11.53333333,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_6fa4169f544b948d,C Robinson,C Robinson,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_6fa4169f544b948d,C Robinson,excel,bexley_stats_spreadsheets.xlsx,1930-31,21,medium,,16,116,2,,,,,52,False,8.285714286,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_e4bd120d79ef9bd9,A Seddon,A Seddon,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_e4bd120d79ef9bd9,A Seddon,excel,bexley_stats_spreadsheets.xlsx,1930-31,22,high,,15,205,,,,,,37,False,13.66666667,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_b046d2e50aea611c,W Vale,W Vale,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_b046d2e50aea611c,W Vale,excel,bexley_stats_spreadsheets.xlsx,1930-31,23,high,,14,46,7,,,,,15,False,6.571428571,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_5b80b6085d105839,D Anderson,D Anderson,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_5b80b6085d105839,D Anderson,excel,bexley_stats_spreadsheets.xlsx,1930-31,28,high,,11,172,3,,,,,53,False,21.5,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_6030eb60047d6a22,C Avern,C Avern,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_6030eb60047d6a22,C Avern,excel,bexley_stats_spreadsheets.xlsx,1930-31,29,medium,,4,177,,,,,,86,False,44.25,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_51d163fc22f38302,R Bartley,R Bartley,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_51d163fc22f38302,R Bartley,excel,bexley_stats_spreadsheets.xlsx,1930-31,30,high,,11,95,2,,,,,27,False,10.55555556,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_d5fcbe81e8ef8ed8,J Boardman,J Boardman,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_d5fcbe81e8ef8ed8,J Boardman,excel,bexley_stats_spreadsheets.xlsx,1930-31,31,high,,16,197,,,,,,34,False,12.3125,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_f4a9c3c095124f89,H Clapham,H Clapham,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_f4a9c3c095124f89,H Clapham,excel,bexley_stats_spreadsheets.xlsx,1930-31,32,high,,22,191,1,,,,,60,False,9.095238095,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_480ca1969468f964,R Clarke,R Clarke,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_480ca1969468f964,R Clarke,excel,bexley_stats_spreadsheets.xlsx,1930-31,33,high,,19,198,,,,,,64,False,10.42105263,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_d666de91616b4b50,Alan Cox,A Cox,Georges River DCC,Georges River DCC,Historical club summary,excel_1930_31,Summer 1930/31,1930-07-01T00:00:00.0000000+00:00,Historical Excel,excel_d666de91616b4b50,Alan Cox,excel,bexley_stats_spreadsheets.xlsx,1930-31,34,high,,18,118,1,,,,,19,False,6.941176471,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
